Workno,Fname,Lastname,Password,Assets,Income,Liabilities,NetWorth,Experience,Salaries_Income
24510,SMITH,KEY,1090,31527021,15051170,209917,46368274,20,450000
24511,JOHNSON,COOKE,1090,25544792,3735087,885327,28394552,10,300000
24512,WILLIAMS,GOFF,1090,36945068,7891955,141357,44695666,20,450000
24513,BROWN,DEJESUS,1090,34193807,6574109,437782,40330134,20,450000
24514,JONES,MARIN,1090,41691472,12472813,852350,53311935,20,450000
24515,MILLER,DOTSON,1090,38745788,1657024,103530,40299282,20,450000
24516,DAVIS,BONNER,1090,26537828,14412842,841486,40109184,20,450000
24517,GARCIA,COTTON,1090,9536018,14355050,283005,23608063,10,300000
24518,RODRIGUEZ,MERRILL,1090,31512559,13146755,451793,44207521,20,450000
24519,WILSON,LINDSAY,1090,15853125,15907864,555519,31205470,15,400000
24520,MARTINEZ,LANCASTER,1090,46540489,1645753,421567,47764675,20,450000
24521,ANDERSON,MCGOWAN,1090,24425257,1557256,216704,25765809,10,300000
24522,TAYLOR,FELIX,1090,8136619,12315966,396283,20056302,10,300000
24523,THOMAS,SALGADO,1090,9756868,12803848,477960,22082756,10,300000
24524,HERNANDEZ,SLATER,1090,45285634,9975747,287500,54973881,20,450000
24525,MOORE,CARVER,1090,36587180,5159083,479780,41266483,20,450000
24526,MARTIN,GUTHRIE,1090,23858663,13179417,592153,36445927,15,400000
24527,JACKSON,HOLMAN,1090,29859087,19787443,577708,49068822,20,450000
24528,THOMPSON,FULTON,1090,28446400,19083930,884287,46646043,20,450000
24529,WHITE,SNIDER,1090,49941024,18824591,181522,68584093,30,500000
24530,LOPEZ,SEARS,1090,16749171,16489254,872111,32366314,15,400000
24531,LEE,WITT,1090,48806921,12935109,679574,61062456,30,500000
24532,GONZALEZ,NEWELL,1090,43509577,9137984,733823,51913738,20,450000
24533,HARRIS,BYERS,1090,13127490,12748121,441544,25434067,10,300000
24534,CLARK,LEHMAN,1090,25999868,10242583,367556,35874895,15,400000
24535,LEWIS,GORMAN,1090,48654212,17014916,784575,64884553,30,500000
24536,ROBINSON,COSTELLO,1090,30278313,19007573,244988,49040898,20,450000
24537,WALKER,DONAHUE,1090,22606911,12422531,963576,34065866,15,400000
24538,PEREZ,DELANEY,1090,875476,10279879,44291,11111064,6,200000
24539,HALL,ALBERT,1090,17030116,8634330,844551,24819895,10,300000
24540,YOUNG,WORKMAN,1090,41680981,2406064,31801,44055244,20,450000
24541,ALLEN,ROSAS,1090,49984913,16302147,79756,66207304,30,500000
24542,SANCHEZ,SPRINGER,1090,24482662,14915787,509852,38888597,15,400000
24543,WRIGHT,KINNEY,1090,26256441,12659874,935704,37980611,15,400000
24544,KING,JUSTICE,1090,27100041,16852838,70860,43882019,20,450000
24545,SCOTT,ODELL,1090,41643152,13296948,671950,54268150,20,450000
24546,GREEN,LAKE,1090,38236264,5089769,420509,42905524,20,450000
24547,BAKER,DONNELLY,1090,19009625,8582056,629496,26962185,10,300000
24548,ADAMS,LAW,1090,11984351,18813190,162777,30634764,15,400000
24549,NELSON,DAILEY,1090,48683929,10317333,574478,58426784,20,450000
24550,HILL,GUEVARA,1090,29343787,14547630,410421,43480996,20,450000
24551,RAMIREZ,SHOEMAKER,1090,23562711,11265410,888625,33939496,15,400000
24552,CAMPBELL,BARLOW,1090,33620731,19777289,216835,53181185,20,450000
24553,MITCHELL,MARINO,1090,36348405,2781137,689529,38440013,15,400000
24554,ROBERTS,WINTER,1090,39945856,4019205,71351,43893710,20,450000
24555,CARTER,CRAFT,1090,31760997,14578060,347137,45991920,20,450000
24556,PHILLIPS,KATZ,1090,39687819,7713329,444774,46956374,20,450000
24557,EVANS,PICKETT,1090,40786566,9440639,564758,49662447,20,450000
24558,TURNER,ESPINOSA,1090,9682404,16632201,900858,25413747,10,300000
24559,TORRES,MALONEY,1090,15038044,3127334,242847,17922531,8,250000
24560,PARKER,DALY,1090,17612996,5191092,551289,22252799,10,300000
24561,COLLINS,GOLDSTEIN,1090,1331985,16956496,581063,17707418,8,250000
24562,EDWARDS,CROWLEY,1090,43881224,11023315,911600,53992939,20,450000
24563,STEWART,VOGEL,1090,27900934,19457948,618760,46740122,20,450000
24564,FLORES,KUHN,1090,8774660,4422055,131169,13065546,8,250000
24565,MORRIS,PEARCE,1090,10327574,3708725,399569,13636730,8,250000
24566,NGUYEN,HARTLEY,1090,45642491,7519692,72828,53089355,20,450000
24567,MURPHY,CLEVELAND,1090,45372977,8266784,536560,53103201,20,450000
24568,RIVERA,PALACIOS,1090,34498289,6858120,91955,41264454,20,450000
24569,COOK,MCFADDEN,1090,40046243,18525861,169391,58402713,20,450000
24570,ROGERS,BRITT,1090,20537316,18697591,496222,38738685,15,400000
24571,MORGAN,WOOTEN,1090,761135,11476908,266360,11971683,6,200000
24572,PETERSON,CORTES,1090,42651801,15671988,646869,57676920,20,450000
24573,COOPER,DILLARD,1090,37695712,19653506,749771,56599447,20,450000
24574,REED,CHILDERS,1090,14257310,10948467,283542,24922235,10,300000
24575,BAILEY,ALFORD,1090,18704734,17152448,550538,35306644,15,400000
24576,BELL,DODD,1090,41909592,14183448,128032,55965008,20,450000
24577,GOMEZ,EMERSON,1090,2653638,10687565,385826,12955377,8,250000
24578,KELLY,WILDER,1090,35929782,4935782,24137,40841427,20,450000
24579,HOWARD,LANGE,1090,49704095,3851331,604463,52950963,20,450000
24580,WARD,GOLDBERG,1090,42778965,17609602,979399,59409168,20,450000
24581,COX,QUINTERO,1090,6099573,19368149,912675,24555047,10,300000
24582,DIAZ,BEACH,1090,18045166,4794659,14628,22825197,10,300000
24583,RICHARDSON,ENRIQUEZ,1090,15524571,18211734,240121,33496184,15,400000
24584,WOOD,QUINTANA,1090,17261464,4662481,231028,21692917,10,300000
24585,WATSON,HELMS,1090,7685783,19287566,580271,26393078,10,300000
24586,BROOKS,MACKEY,1090,17701914,13367756,44762,31024908,15,400000
24587,BENNETT,FINCH,1090,39947944,9614541,255166,49307319,20,450000
24588,GRAY,CRAMER,1090,12463989,18000423,663081,29801331,10,300000
24589,JAMES,MINOR,1090,44254000,12589940,30842,56813098,20,450000
24590,REYES,FLANAGAN,1090,9508784,2879001,416227,11971558,6,200000
